Crash_Day,Crash_Date,Borough,Latitude,Longitude,Number_of_Persons_Injured,Aftermath of Accident,Number_of_Persons_Killed,Contributing_Factor,Collision_ID
Friday,01-10-2021 22:36,QUEENS,40.679726,-73.829834,0,No Injury,0,Alcohol Involvement,4463897
Friday,01-10-2021 22:47,BROOKLYN,40.69003,-73.93048,1,Injured,0,Driver Inattention,4463511
Friday,01-10-2021 22:50,QUEENS,40.751495,-73.87991,0,No Injury,0,Driver Inattention,4463361
Friday,01-10-2021 22:53,BROOKLYN,40.64479,-74.01433,3,Injured,0,Alcohol Involvement,4463334
Friday,01-10-2021 22:55,QUEENS,40.65973,-73.74174,1,Injured,0,Driver Inattention,4463286
Friday,01-10-2021 23:58,QUEENS,40.729527,-73.7444,0,No Injury,0,Driver Inattention,4463285
Friday,02-10-2021 00:00,QUEENS,40.67986,-73.7883,0,No Injury,0,Passing Too Closely,4465937
Friday,02-10-2021 00:00,BROOKLYN,40.62243,-73.94197,1,Injured,0,Alcohol Involvement,4463491
Friday,02-10-2021 00:00,BRONX,40.804695,-73.92239,2,Injured,0,Driver Inattention,4463881
Saturday,02-10-2021 00:27,MANHATTAN,40.72125,-73.99224,0,No Injury,0,Failure to Yield Right-of-Way,4463303
Saturday,02-10-2021 00:30,QUEENS,40.66496,-73.82226,1,Injured,0,View Obstructed,4463777
Saturday,02-10-2021 00:30,QUEENS,40.671932,-73.85165,0,No Injury,0,Unsafe Lane Changing,4463684
Saturday,02-10-2021 00:30,MANHATTAN,40.736004,-73.99362,0,No Injury,0,Following Too Closely,4463776
Saturday,02-10-2021 00:35,BRONX,40.859642,-73.899826,1,Injured,0,Turning Improperly,4466036
Saturday,02-10-2021 00:40,BROOKLYN,40.68338,-73.869255,0,No Injury,0,Passing Too Closely,4463721
Saturday,02-10-2021 00:45,STATEN ISLAND,40.575165,-74.12785,0,No Injury,0,Unsafe Speed,4464036
Saturday,02-10-2021 00:45,BRONX,40.84708,-73.8867,0,No Injury,0,Turning Improperly,4463795
Saturday,02-10-2021 01:00,BRONX,40.87535,-73.85721,0,No Injury,0,Passing or Lane Usage Improper,4465832
Saturday,02-10-2021 01:15,MANHATTAN,40.72293,-73.98865,0,No Injury,0,Driver Inattention,4463452
Saturday,02-10-2021 01:20,BROOKLYN,40.609333,-73.948425,0,No Injury,0,Failure to Yield Right-of-Way,4463691
Saturday,02-10-2021 01:30,QUEENS,40.7357,-73.72497,0,No Injury,0,Other Vehicular,4463394
Saturday,02-10-2021 01:31,BRONX,40.848793,-73.91495,0,No Injury,0,Driver Inattention,4463937
Saturday,02-10-2021 01:41,QUEENS,40.72469,-73.7541,1,Injured,0,Failure to Yield Right-of-Way,4463287
Saturday,02-10-2021 01:50,QUEENS,40.69552,-73.86456,0,No Injury,0,Passing or Lane Usage Improper,4463920
Saturday,02-10-2021 01:50,BRONX,40.856987,-73.890305,0,No Injury,0,Unsafe Speed,4463804
Saturday,02-10-2021 02:30,BRONX,40.863777,-73.86477,0,No Injury,0,Driver Inexperience,4464303
Saturday,02-10-2021 02:45,QUEENS,40.680202,-73.82123,1,Injured,0,Passing Too Closely,4463692
Saturday,02-10-2021 02:56,QUEENS,40.7139,-73.90881,0,No Injury,0,Unsafe Speed,4464666
Saturday,02-10-2021 03:00,MANHATTAN,40.718582,-73.99175,0,No Injury,0,Oversized Vehicle,4463302
Saturday,02-10-2021 03:00,BRONX,40.88516,-73.83564,0,No Injury,0,Unsafe Speed,4463499
Saturday,02-10-2021 03:05,MANHATTAN,40.718292,-73.98248,0,No Injury,0,Passing or Lane Usage Improper,4463288
Saturday,02-10-2021 03:10,BROOKLYN,40.646885,-73.94916,0,No Injury,0,Following Too Closely,4463593
Saturday,02-10-2021 03:14,BROOKLYN,40.64503,-73.91998,0,No Injury,0,Alcohol Involvement,4465530
Saturday,02-10-2021 03:35,BROOKLYN,40.637405,-73.93949,0,No Injury,0,Driver Inattention,4465535
Saturday,02-10-2021 03:36,QUEENS,40.711628,-73.729385,1,Injured,0,Unsafe Speed,4463398
Saturday,02-10-2021 03:50,QUEENS,40.75585,-73.88259,0,No Injury,0,Driver Inattention,4463360
Saturday,02-10-2021 03:59,MANHATTAN,40.749973,-74.002525,0,No Injury,0,Unsafe Lane Changing,4463354
Saturday,02-10-2021 04:00,BROOKLYN,40.67303,-73.901,0,No Injury,0,Driver Inattention,4463778
Saturday,02-10-2021 04:00,QUEENS,40.6832,-73.82742,0,No Injury,0,Following Too Closely,4463722
Saturday,02-10-2021 04:13,BROOKLYN,40.660297,-73.947685,1,Injured,0,Traffic Control Disregarded,4464372
Saturday,02-10-2021 04:14,BROOKLYN,40.671555,-73.915924,0,No Injury,0,Backing Unsafely,4463404
Saturday,02-10-2021 04:15,STATEN ISLAND,40.577065,-74.11635,1,Injured,0,Driver Inattention,4463364
Saturday,02-10-2021 04:28,MANHATTAN,40.81594,-73.945244,0,No Injury,0,Alcohol Involvement,4463826
Saturday,02-10-2021 04:30,BRONX,0,0,0,No Injury,0,Driver Inattention,4464563
Saturday,02-10-2021 04:50,MANHATTAN,40.827377,-73.94483,0,No Injury,0,Following Too Closely,4464230
Saturday,02-10-2021 05:00,QUEENS,40.67812,-73.85828,1,Injured,0,Traffic Control Disregarded,4463685
Saturday,02-10-2021 05:05,BROOKLYN,40.634888,-73.8909,1,Injured,0,Alcohol Involvement,4463971
Saturday,02-10-2021 05:09,BRONX,40.89154,-73.83935,0,No Injury,0,Reaction to Uninvolved Vehicle,4463503
Saturday,02-10-2021 05:20,BRONX,40.84263,-73.90597,0,No Injury,0,Other Vehicular,4463362
Saturday,02-10-2021 05:27,STATEN ISLAND,40.614582,-74.08547,1,Injured,0,Driver Inattention,4464285
Saturday,02-10-2021 05:30,QUEENS,40.696613,-73.832115,0,No Injury,0,Passing Too Closely,4463921
Saturday,02-10-2021 05:45,BROOKLYN,40.626373,-73.99754,0,No Injury,0,Driver Inattention,4477043
Saturday,02-10-2021 06:00,BROOKLYN,40.643635,-73.899155,0,No Injury,0,Driver Inattention,4464075
Saturday,02-10-2021 06:00,QUEENS,40.70024,-73.814926,1,Injured,0,Driver Inattention,4463948
Saturday,02-10-2021 06:14,BRONX,40.8345335,-73.9042077,0,No Injury,0,Alcohol Involvement,4468666
Saturday,02-10-2021 06:15,QUEENS,40.700005,-73.7547,0,No Injury,0,Failure to Yield Right-of-Way,4463660
Saturday,02-10-2021 06:32,BROOKLYN,40.70409,-73.9265,0,No Injury,0,Driver Inattention,4464160
Saturday,02-10-2021 06:33,BRONX,40.88768,-73.877556,0,No Injury,0,Driver Inattention,4464038
Saturday,02-10-2021 06:40,BROOKLYN,40.69169,-73.90585,0,No Injury,0,Driver Inattention,4464142
Saturday,02-10-2021 06:45,BROOKLYN,40.63528,-73.91047,0,No Injury,0,Driver Inattention,4463353
Saturday,02-10-2021 06:58,BROOKLYN,40.710785,-73.95995,1,Injured,0,Failure to Yield Right-of-Way,4463663
Saturday,02-10-2021 07:05,BRONX,40.852318,-73.89258,0,No Injury,0,Driver Inattention,4463741
Saturday,02-10-2021 07:50,BROOKLYN,40.5874,-73.97247,0,No Injury,0,Driver Inattention,4464729
Saturday,02-10-2021 08:00,BRONX,40.812813,-73.91595,0,No Injury,0,Unsafe Speed,4463878
Saturday,02-10-2021 09:06,MANHATTAN,40.777295,-73.9547074,0,No Injury,0,Driver Inattention,4467323
Saturday,02-10-2021 09:32,BROOKLYN,40.6445538,-73.9276606,1,Injured,0,Failure to Yield Right-of-Way,4468440
Saturday,02-10-2021 09:34,QUEENS,40.772346,-73.824684,0,No Injury,0,Traffic Control Disregarded,4463645
Saturday,02-10-2021 09:40,STATEN ISLAND,40.613586,-74.08267,0,No Injury,0,Driver Inattention,4464287
Saturday,02-10-2021 09:43,BROOKLYN,40.689598,-73.91025,0,No Injury,0,Passing Too Closely,4464147
Saturday,02-10-2021 09:50,BRONX,40.89844,-73.87228,0,No Injury,0,Driver Inattention,4464447
